,Genre,,,Awards,Awards - Split 1 ,Awards - Split 2,Awards - Split 3,Total Awards,Metascore,imdbVotes
1,Crime, Drama,,Nominated for 7 Oscars. Another 19 wins & 30 nominations.,7,19,30,56,80,"1,825,626"
2,Crime, Drama,,Won 3 Oscars. Another 23 wins & 27 nominations.,3,23,27,53,100,"1,243,444"
3,Crime, Drama,,Won 6 Oscars. Another 10 wins & 20 nominations.,6,10,20,36,85,"856,870"
4,Action, Crime, Drama,Won 2 Oscars. Another 151 wins & 153 nominations.,2,151,153,306,82,"1,802,351"
5,Crime, Drama,,Nominated for 3 Oscars. Another 16 wins & 8 nominations.,3,16,8,27,96,"494,215"
6,Biography, Drama, History,Won 7 Oscars. Another 71 wins & 33 nominations.,7,71,33,111,93,"937,837"
7,Crime, Drama,,Won 1 Oscar. Another 60 wins & 68 nominations.,1,60,68,129,94,"1,427,451"
8,Adventure, Drama, Fantasy,Won 11 Oscars. Another 197 wins & 122 nominations.,11,197,122,330,94,"1,304,569"
9,Western,,,1 win & 2 nominations.,1,2,,3,90,"539,526"
10,Drama,,,Nominated for 1 Oscar. Another 10 wins & 31 nominations.,1,10,31,42,66,"1,458,676"
11,Adventure, Drama, Fantasy,Won 4 Oscars. Another 113 wins & 124 nominations.,4,113,124,241,92,"1,326,876"
12,Comedy, Drama, Romance,Won 6 Oscars. Another 39 wins & 66 nominations.,6,39,66,111,82,"1,365,937"
13,Action, Adventure, Fantasy,Won 1 Oscar. Another 21 wins & 19 nominations.,1,21,19,41,81,"910,608"
14,Action, Adventure, Sci-Fi,Won 4 Oscars. Another 150 wins & 203 nominations.,4,150,203,357,74,"1,592,306"
15,Adventure, Drama, Fantasy,Won 2 Oscars. Another 118 wins & 138 nominations.,2,118,138,258,88,"1,188,300"
16,Drama,,,Won 5 Oscars. Another 30 wins & 13 nominations.,5,30,13,48,80,"729,653"
17,Crime, Drama,,Won 1 Oscar. Another 37 wins & 35 nominations.,1,37,35,73,89,"787,997"
18,Action, Sci-Fi,,Won 4 Oscars. Another 34 wins & 45 nominations.,4,34,45,83,73,"1,314,628"
19,Adventure, Drama,,Nominated for 2 Oscars. Another 5 wins & 6 nominations.,2,5,6,13,98,"246,807"
20,Action, Adventure, Fantasy,Won 6 Oscars. Another 50 wins & 28 nominations.,6,50,28,84,92,"982,688"
21,Crime, Drama,,Nominated for 4 Oscars. Another 65 wins & 38 nominations.,4,65,38,107,79,"571,582"
22,Crime, Drama, Mystery,Nominated for 1 Oscar. Another 25 wins & 34 nominations.,1,25,34,60,65,"1,108,627"
23,Crime, Drama, Thriller,Won 5 Oscars. Another 49 wins & 37 nominations.,5,49,37,91,84,"967,878"
24,Drama, Family, Fantasy,Nominated for 5 Oscars. Another 6 wins & 1 nomination.,5,6,1,12,89,"301,614"
25,Comedy, Drama, War,Won 3 Oscars. Another 66 wins & 51 nominations.,3,66,51,120,59,"464,159"
26,Crime, Drama, Mystery,Won 2 Oscars. Another 32 wins & 16 nominations.,2,32,16,50,77,"797,545"
27,Crime, Drama, Thriller,5 wins & 11 nominations.,5,11,,16,64,"787,281"
28,Drama, War,,Won 5 Oscars. Another 74 wins & 74 nominations.,5,74,74,153,90,"960,639"
29,Animation, Adventure, Family,Won 1 Oscar. Another 56 wins & 27 nominations.,1,56,27,84,94,"464,405"
30,Western,,,4 wins & 5 nominations.,4,5,,9,80,"234,483"
31,Crime, Drama,,Nominated for 1 Oscar. Another 4 wins & 13 nominations.,1,4,13,18,62,"843,128"
32,Adventure, Drama, Sci-Fi,Won 1 Oscar. Another 41 wins & 142 nominations.,1,41,142,184,74,"1,057,411"
33,Horror, Mystery, Thriller,Nominated for 4 Oscars. Another 5 wins & 9 nominations.,4,5,9,18,97,"458,316"
34,Drama, Romance, War,Won 3 Oscars. Another 5 wins & 8 nominations.,3,5,8,16,100,"415,400"
35,Comedy, Drama, Romance,3 wins.,3,,,3,N/A,"119,453"
36,Crime, Drama, Fantasy,Nominated for 4 Oscars. Another 15 wins & 30 nominations.,4,15,30,49,61,"857,527"
37,Biography, Comedy, Drama,Nominated for 1 Golden Globe. Another 35 wins & 39 nominations.,1,35,39,75,57,"562,601"
38,Comedy, Drama, Family,4 wins & 1 nomination.,4,1,,5,96,"158,254"
39,Action, Adventure,,Won 4 Oscars. Another 30 wins & 23 nominations.,4,30,23,57,85,"709,587"
40,Mystery, Thriller,,Nominated for 4 Oscars. Another 6 wins & 8 nominations.,4,6,8,18,N/A,"342,023"
41,Biography, Drama, Music,Won 3 Oscars. Another 51 wins & 72 nominations.,3,51,72,126,85,"547,383"
42,Crime, Drama, Thriller,Won 4 Oscars. Another 92 wins & 134 nominations.,4,92,134,230,85,"943,314"
43,Action, Sci-Fi, Thriller,Won 4 Oscars. Another 24 wins & 24 nominations.,4,24,24,52,75,"798,971"
44,Adventure, Comedy, Sci-Fi,Won 1 Oscar. Another 18 wins & 26 nominations.,1,18,26,45,86,"798,211"
45,Drama, Music,,Won 3 Oscars. Another 88 wins & 135 nominations.,3,88,135,226,88,"485,079"
